name,abv_level
Striped Bass Pale Ale,med
Deadicated Amber,med
Kaleidoscope Collaboration 2012,high
California Sunshine Rye IPA,high
Full Boar Scotch Ale,high
12 Man Pale Ale,low
Filthy Hoppin' IPA,med
Dock Street Amber Beer (1992),high
Dolores River Hefeweizen,high
Dolores River ESB,high
Snaggletooth Double Pale Ale,high
Dolores River Pale Ale,high
Dolores River Dry Stout,high
Dolores River Mild,high
Cranberry Blend,low
Orignal Blend,med
Hop Abomination,high
Apricot Blonde,med
Dry Dock Hefeweizen,low
Dry Dock Amber Ale,med
Category 3 IPA,med
Dundee Summer Wheat Beer,low
Pumpkin Patch Ale,low
Crank Yanker IPA,high
River Runners Pale Ale,med
Pumpkin Patch Ale (2012),low
Mountain Fairy Raspberry Wheat,med
Boater Beer,low
Crank Yanker IPA (2011),high
Bleeding Buckeye Red Ale,med
Dottie Seattle Lager,low
Nut Sack Imperial Brown Ale,high
Underachiever,low
Lil' Brainless Raspberries,med
Element 29,med
Hop Syndrome,low
Escape to Colorado,med
Little Sister India Style Session Ale,low
Country Boy IPA,med
Blonde Czich,low
White Reaper,high
Bobblehead,med
Lucky Dog,med
Voodoo,low
General George Patton Pilsner,med
Nomader Weiss,low
Molotov Lite,high
Hipster Ale (Two Roads Brewing),med
Bikini Beer,low
Hipster Ale (Westbrook Brewing),med
Iron Horse Pale Ale,low
Stone's Throw IPA,low
Wood Chipper India Pale Ale,high
Trail Head,med
Hop Stalker Fresh Hop IPA,high
Sudice American Stout,high
Parcae Belgian Style Pale Ale,low
Norns Roggenbier,low
Laimas Kölsch Style Ale,low
Moirai India Pale Ale,high
Loki Red Ale,high
Peaches & Cream,low
Quaff India Style Session Ale,med
Loki Red Ale (2013),high
Mjolnir Imperial IPA,high
Fearless Scottish Ale,low
Mastermind,high
Hyzer Flip,high
Second Fiddle,high
Hodad Porter,med
Weiss Weiss Baby,low
Czech Yo Self,med
FMB 101,low
Hardcore Chimera,high
Sobek & Set,high
Nuclear Winter,high
Wet Hot American Wheat Ale,low
Secret Stache Stout,med
Fascist Pig Ale,high
Cut Throat Pale Ale,med
Threadless IPA,high
Cut Throat Pale Ale (2011),med
Golden Wing Blonde Ale,low
Easy Jack,low
Union Jack,high
Pivo Pils,med
805 Blonde Ale,low
805,low
Deflator,med
Hinchtown Hammer Down,low
Half Cycle IPA,med
Inclined Plane Ale,high
Moped Traveler,med
Snake Dog IPA,high
Underdog Atlantic Lager,low
Flying Mouse 8,low
Flying Mouse 4,high
La Ferme Urbaine Farmhouse Ale,high
Backyahd IPA,med
Raincloud Robust Porter,med
Barstool American Golden Ale,low
What the Butler Saw,low
1916 Shore Shiver,high
Quick WIT,med
The Optimist,med
Suicide Squeeze IPA,low
Java the Hop,med
Next Adventure Black IPA,med
3-Way IPA (2013),high
Tender Loving Empire NWPA,med
Quick Wit Belgianesque Ale,med
Sunrise Oatmeal Pale Ale,med
Cavatica Stout,high
1811 Lager,med
Vortex IPA,high
Fort Pitt Ale,high
Park,low
Westfalia,med
KSA,low
Villager,med
Dirty Bastard,high
Centennial IPA,high
All Day IPA,low
El Chingon IPA,high
Block Party Robust Porter,med
Local Buzz,med
Feel Like Maplin' Love,med
Father's Beer,low
The 26th,med
The Gadget,med
Leprechaun Lager,low
Sunbru Kölsch,med
Kilt Lifter Scottish-Style Ale,med
Pumpkin Porter,med
Four Peaks Peach Ale,low
Hop Knot IPA,high
Kilt Lifter Scottish-Style Ale (2009),med
Sunbru Kölsch,med
Four String Vanilla Porter,med
Suncaster Summer Wheat,low
Brass Knuckle Pale Ale,med
Big Star White IPA,high
Old Detroit,med
Batch 69 IPA,high
Twisted Helles Summer Lager,med
OktoberFiesta,med
Texicali ,med
Pinata Protest,med
Bat Outta Helles,low
Original,high
Rye Wit,low
Soul Doubt,med
Yo Soy Un Berliner,low
77 Fremont Select Spring Session IPA,low
Fremont Organic Pale Ale,low
Abominable Ale,high
Harvest Ale,med
Fremont Summer Ale,med
Universale Pale Ale,med
Interurban IPA,med
Gateway Kolsch Style Ale,med
Wee-Heavy-Er Scotch Ale,high
13 Rebels ESB,med
Salamander Slam,high
Cack-A-Lacky,low
No Wake IPA,high
Boathouse Blonde,low
Cedar Point,low
Clean Shave IPA,high
Might As Well IPL,high
Saison Pamplemousse,med
2020 IPA,high
Wolf Among Weeds IPA,high
Better Weather IPA,high
Point the Way IPA,med
Golden Road Hefeweizen,low
Heal the Bay IPA,high
Point the Way IPA,med
Cabrillo Kölsch,low
Get Up Offa That Brown,med
Burning Bush Smoked IPA,high
Wolf Among Weeds IPA (2012),high
Point the Way IPA (2012),med
Golden Road Hefeweizen (2012),low
Vanilla Porter,high
Descender IPA,high
Sweet As Pacific Ale,med
Good People Pale Ale,med
Snake Handler Double IPA,high
Coffee Oatmeal Stout,med
Good People IPA,med
Good People American Brown Ale,med
Mountain Rescue Pale Ale,med
Goose Island India Pale Ale,med
312 Urban Pale Ale,med
312 Urban Pale Ale,med
312 Urban Wheat Ale,low
312 Urban Wheat Ale,low
312 Urban Wheat Ale (2012),low
Beaver Logger,med
White Water Wheat,low
Grand Canyon American Pilsner,med
Grand Canyon Sunset Amber Ale,med
Black Iron India Pale Ale,high
Monarch Classic American Wheat,low
Sir William's English Brown Ale,low
Lakefire Rye Pale Ale,med
Beer Agent Re-Ignition,med
Cherry Ale,med
Bourbon Barrel Aged Coconut Porter,med
Great Crescent IPA,med
Aurora Lager,med
Great Crescent Blonde Ale,med
Great Crescent Coconut Porter,med
Great Crescent Oktoberfest Lager,med
Great Crescent Brown Ale,low
Cherry Ale (1),med
Aurora Lager (2011),med
Frosted Fields Winter Wheat,med
Great Crescent Belgian Style Wit,med
Bourbon's Barrel Stout,high
Great Crescent Stout,high
Great Crescent Coconut Porter (2012),med
Great Crescent Dark Lager,med
Great Crescent Mild Ale,low
Great Crescent IPA (2011),med
Great Crescent Blonde Ale (2011),med
Denver Pale Ale (Artist Series No. 1),low
Hibernation Ale,high
Whitewater,med
Rumble,high
Orabelle,high
Lasso,low
Yeti  Imperial Stout,high
Colette,high
Titan IPA,high
Black Star Double Hopped Golden Lager (24 oz.),low
Black Star Double Hopped Golden Lager (12 oz.),low
Commotion APA,med
Southern Drawl Pale Lager,med
Chickawawa Lemonale,low
Barrel Aged Farmer,high
Great River Golden Ale,low
Dirty Blonde Chocolate Ale,low
Dos Pistolas,low
Owney Irish Style Red Ale,low
Aaah Bock Lager,med
Widespread Wit,med
Roller Dam Red Ale,med
483 Pale Ale,med
Hop A Potamus Double Dark Rye Pale Ale,high
Farmer Brown Ale,high
Big Cock IPA,high
Oktoberfest,med
40th Annual Bix Street Fest Copper Ale (Current),low
Redband Stout,med
483 Pale Ale (2010),med
Roller Dam Red Ale (2010),med
Pablo Beach Pale Ale,low
Wild Trail Pale Ale,med
Mothman Black IPA,high
Autumn Winds Fest Beer,med
Captain's Daughter,high
Autumn Winds,med
Flying Jenny Extra Pale Ale,med
Hazy Day Belgian-Style Wit,low
Bring Back the Beach Blonde Ale,med
Leaning Chimney Smoked Porter,med
Flying Jenny Extra Pale Ale (2012),med
Flagship Ale,low
Mr. Blue Sky,low
3 Scrooges,med
Screamin’ Pumpkin,low
Grand Trunk Bohemian Pils,low
El Rojo,med
Norm's Raggedy Ass IPA,high
Grind Line,low
Norm's Gateway IPA,low
Lemon Shandy Tripel,high
Little Red Cap,med
Supergoose IPA,high
Hale's Pale American Ale,low
Heyoka IPA,high
Guest Lager,high
Pony Pilsner,med
Akari Shogun American Wheat Ale,med
Meat Wave,med
Over Ale,med
Gossamer Golden Ale,low
Daisy Cutter Pale Ale,med
Pursuit,high
Half Full Bright Ale,med
Orange Wheat,low
Hangar 24 Helles Lager,low
The Great Return,high
Hardywood Cream Ale,low
Capital Trail Pale Ale,med
UFO Gingerland,med
The Long Thaw White IPA,med
Honey Cider,low
Harpoon Summer Beer,low
Harpoon IPA,med
UFO Pumpkin,med
Harpoon Octoberfest,med
Harpoon IPA (2012),med
Harpoon Summer Beer (2012),low
UFO White,low
Harpoon Summer Beer (2010),low
Harpoon IPA (2010),med
Great Falls Select Pale Ale,high
Beltian White,low
Kaua'i Golden Ale,low
Sunset Amber,med
Hapa Brown Ale,med
Hapa Brown Ale,med
Southern Cross,high
Groupe G,high
Pt. Bonita Rustic Lager,med
Hill 88 Double IPA,high
Loose Cannon,high
AARGHtoberfest!,med
Davy Jones Lager,med
Grazias,med
Habitus IPA,high
Ex Umbris Rye Imperial Stout,high
The Golden One,med
The Power of Zeus,high
Tonganoxie Honey Wheat,low
Oregon Trail Unfiltered Raspberry Wheat,low
Annie's Amber Ale,med
The 12th Can™,low
Hilliard's Pils,med
Hilliard's Blonde,low
Hilliard's Amber Ale,med
Hilliard's Saison,high
White Cap White IPA,low
Provision,low
One Nut Brown,low
Hop Farm IPA,med
Double D Blonde,low
Festeroo Winter Ale,high
Proxima IPA,med
Double D Blonde (2013),low
541 American Lager,low
Alphadelic IPA,med
Alphadelic IPA (2011),med
Double D Blonde (2011),low
Green House India Pale Ale,high
The One They Call Zoe,med
Alteration,med
Pale Dog,med
Porter Culture,med
Hard Cider,high
Totally Radler,low
Nonstop Hef Hop,low
Nonstop Hef Hop,low
Nonstop Hef Hop,low
Nonstop Hef Hop,low
Nonstop Hef Hop,low
Nonstop Hef Hop,low
Nonstop Hef Hop,low
Nonstop Hef Hop,low
Nonstop Hef Hop,low
Nonstop Hef Hop,low
Nonstop Hef Hop,low
Nonstop Hef Hop,low
Rise Up Red,med
Survival Stout,med
Hopworks IPA,high
Abominable Winter Ale,high
Pigwar White India Pale Ale,med
Rise-Up Red (2014),med
Abominable Winter Ale (2012),high
HUB Lager,med
Hopworks IPA (2012),high
Watermelon Wheat,med
Laka Laka Pineapple,med
Oktoberfest,med
Trail Maker Pale Ale,med
Action Man Lager,med
